URL,Version,Status,OIDs,Name,Title,Description,Used
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRAddressCS,0.1.0,draft,,CRAddressCS,CR - Address,"Address codes containing placeholder values that must be customised prior to implementation to reflect the administrative geography of the country or region. The recommended approach uses text-type data elements combined with dependent dropdown lists, aligning with the CanReg5 convention where the address variable is two characters in length encoding a combination of two administrative levels.","ValueSet/CRAddressVS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRBasisDiagnosisCS,0.1.0,draft,,CRBasisDiagnosisCS,CR - Basis diagnosis,"Basis of diagnosis codes aligned with the CanReg5 basis dictionary. Codes 0-4 represent non-microscopically confirmed diagnoses (death certificate only, clinical, clinical investigation/ultrasound, surgery/autopsy, laboratory test). Codes 5-8 represent microscopically confirmed diagnoses (cytology, histology of metastasis, histology of primary, autopsy with histology). Code 9 represents unknown basis. Used in the Basis data quality check.","ValueSet/CRBasisDiagnosisVS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRBehaviourCS,0.1.0,draft,,CRBehaviourCS,CR - Behaviour,"Tumour behaviour codes aligned with the CanReg5 ICD-O-3.2 behaviour dictionary. Used in the Tumor stage to classify the biological behaviour of the neoplasm. These codes are referenced in data quality checks including the Topography-Behaviour and Sex-Morphology checks. Codes must not be modified as they are mapped directly to CanReg5 standards.","ValueSet/CRBehaviourVS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRGradeCS,0.1.0,draft,,CRGradeCS,CR - Grade,"Tumour grade and differentiation codes aligned with the CanReg5 ICD-O-3.2 grade dictionary. Codes 1-4 represent histological grade (well differentiated to undifferentiated/anaplastic). Codes 5-8 are reserved for lymphomas and leukaemias (T-cell, B-cell, Null cell, NK cell). Code 9 represents unknown/not stated. Grade is mandatory only when behaviour is malignant (3). These codes are used in the Grade data quality check.","ValueSet/CRGradeVS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRMorphology4CS,0.1.0,draft,,CRMorphology4CS,CR - Morphology4,"ICD-O-3.2 morphology codes (first four digits) mapped from the CanReg5 morphology dictionary (morphology4.tsv). These codes represent the histological type of the neoplasm. Since the field is configured as a closed option set, validity of morphology values is guaranteed by the data entry interface. Codes must not be modified as they are mapped directly to CanReg5 standards and used in multiple data quality checks.","ValueSet/CRMorphology4VS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRMorphologyFamilyCS,0.1.0,draft,,CRMorphologyFamilyCS,CR - Morphology Family,"Morphological family grouping codes derived from the CanReg5 MorphFam.txt lookup file. Each morphology code is assigned to a morphological family, which is used in the Sex-Morphology check (to identify rare sex-morphology combinations) and the Topography-Morphology check (to evaluate morphology-topography combinations against MUST and MUST-NOT lookup tables). Code 99 (N/A) indicates the family is accepted with any topography.","ValueSet/CRMorphologyFamilyVS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRMorphologyGroupCS,0.1.0,draft,,CRMorphologyGroupCS,CR - Morphology Group,"Morphology group codes used in the Multiple Primary Tester data quality check. Groups are derived from morphology codes using the mapping logic defined in the CanReg5 DefaultMultiplePrimaryTester class. Groups 8-14 represent haematopoietic/lymphoid tissue subtypes (systemic groups). Group 0 indicates an invalid morphology, and group 17 indicates an unspecified morphology.","ValueSet/CRMorphologyGroupVS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRMorphologyResultCS,0.1.0,draft,,CRMorphologyResultCS,CR - Morphology result,"Intermediate morphology evaluation result codes used in the Multiple Primary Tester check. When the morphology comparison between two tumours is inconclusive (undecided), the check proceeds to topography evaluation. 'Invalid' indicates one of the morphology groups is invalid (0). 'Go to topography' indicates the morphology evaluation was undecided and topography comparison is needed.","ValueSet/CRMorphologyResultVS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRMultiplePrimaryTestCS,0.1.0,draft,,CRMultiplePrimaryTestCS,CR - Multiple primary test,"Result codes for the Multiple Primary Tester data quality check. This check determines whether two or more tumours registered for the same patient represent duplicate registrations of the same tumour or distinct multiple primary tumours, based on the CanReg5 DefaultMultiplePrimaryTester logic.","ValueSet/CRMultiplePrimaryTestVS"
https://dhis2.org/fhir/cancer-registry/CodeSystem/CRPlaceholderSourceTypeCS,0.1.0,draft,,CRPlaceholderSourceTypeCS,CR - Placeholder: Source type,"Placeholder source type codes for the Source stage. These values must be customised prior to implementation to reflect the source types relevant to the local registry context (e.g. hospital records, pathology laboratory reports, death certificates).","ValueSet/CRPlaceholderSourceTypeVS"
