URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://dhis2.org/fhir/cancer-registry/ValueSet/CRAddressVS,1.0.0,active,,CRAddressVS,CR - Address value set,"Value set of address codes containing placeholder values that must be customised prior to implementation to reflect the administrative geography of the country or region.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRAddressVS,0.1.0,active,,CRAddressVS,CR - Address value set,"Value set of address codes containing placeholder values that must be customised prior to implementation to reflect the administrative geography of the country or region.","StructureDefinition/cr-address-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRBasisDiagnosisVS,1.0.0,active,,CRBasisDiagnosisVS,CR - Basis diagnosis value set,"Value set of basis of diagnosis codes aligned with the CanReg5 basis dictionary. Codes 0-4 are non-microscopically confirmed, codes 5-8 are microscopically confirmed, and code 9 is unknown.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRBasisDiagnosisVS,0.1.0,active,,CRBasisDiagnosisVS,CR - Basis diagnosis value set,"Value set of basis of diagnosis codes aligned with the CanReg5 basis dictionary. Codes 0-4 are non-microscopically confirmed, codes 5-8 are microscopically confirmed, and code 9 is unknown.","StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRBehaviourVS,1.0.0,active,,CRBehaviourVS,CR - Behaviour value set,"Value set of tumour behaviour codes aligned with the CanReg5 ICD-O-3.2 behaviour dictionary, used in the Tumor stage to classify the biological behaviour of the neoplasm.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRBehaviourVS,0.1.0,active,,CRBehaviourVS,CR - Behaviour value set,"Value set of tumour behaviour codes aligned with the CanReg5 ICD-O-3.2 behaviour dictionary, used in the Tumor stage to classify the biological behaviour of the neoplasm.","StructureDefinition/cr-behaviour-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRGradeVS,1.0.0,active,,CRGradeVS,CR - Grade value set,"Value set of tumour grade and differentiation codes aligned with the CanReg5 ICD-O-3.2 grade dictionary. Includes histological grades 1-4, lymphoma/leukaemia-specific codes 5-8, and unknown (9). Grade is mandatory only when behaviour is malignant (3).",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRGradeVS,0.1.0,active,,CRGradeVS,CR - Grade value set,"Value set of tumour grade and differentiation codes aligned with the CanReg5 ICD-O-3.2 grade dictionary. Includes histological grades 1-4, lymphoma/leukaemia-specific codes 5-8, and unknown (9). Grade is mandatory only when behaviour is malignant (3).","StructureDefinition/cr-grade-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphology4VS,1.0.0,active,,CRMorphology4VS,CR - Morphology4 value set,"Value set of ICD-O-3.2 morphology codes (first four digits) mapped from the CanReg5 morphology dictionary, representing histological types of neoplasms.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphology4VS,0.1.0,active,,CRMorphology4VS,CR - Morphology4 value set,"Value set of ICD-O-3.2 morphology codes (first four digits) mapped from the CanReg5 morphology dictionary, representing histological types of neoplasms.","StructureDefinition/cr-morphology-observation,StructureDefinition/Tumor","Internal"
